Predictor,Long_name,Category,Response,Response_measure,Response_long,Effect_size,Variance,Scale,Reference,Link,Comment
Fauna,Staphylinied_beetle_richness,Biotic_interactions,Collembola,Diversity,Collembolan_diversity,*,0.5,regional,Mueller et al. 2016,,Poland
Fauna,Gamasid_mite_richness,Biotic_interactions,Collembola,Diversity,Collembolan_diversity,*,0.4,regional,Mueller et al. 2016,,Poland
T,Soil_temperature,Climate,Ants,Diversity,Formicidae_diversity,**,0.6,regional,Mueller et al. 2016,,Poland
Veg,Basal_area,Biotic_interactions,Ants,Diversity,Formicidae_diversity,*,-0.4,regional,Mueller et al. 2016,,Poland
Al,Soil_aluminium,Soil_nutrients,Ants,Diversity,Formicidae_diversity,*,0.4,regional,Mueller et al. 2016,,Poland
Veg,Root_chemical_ratio,Biotic_interactions,Ants,Diversity,Formicidae_diversity,*,0.45,regional,Mueller et al. 2016,,Poland
pH,pH_value,Soil_pH,Ants,Diversity,Formicidae_diversity,*,-0.4,regional,Mueller et al. 2016,,Poland
Veg,Non_vascular_plant_richness,Biotic_interactions,Ants,Diversity,Formicidae_diversity,*,0.4,regional,Mueller et al. 2016,,Poland
T,Soil_temperature_winter,Climate,Ants,Diversity,Formicidae_diversity,*,-0.35,regional,Mueller et al. 2016,,Poland
NH4,Soil_NH4_NO3,Soil_nutrients,Ants,Diversity,Formicidae_diversity,*,0.4,regional,Mueller et al. 2016,,Poland
Veg,Light_availability,Biotic_interactions,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,0.5,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
Fauna,Biomass_D.oct.,Biotic_interactions,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,0.38,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
P,Soil_phosphorus_0-20,Soil_nutrients,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,0.38,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
Mg,Soil_magnesium_0-20,Soil_nutrients,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,0.27,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
MibiC,Microbial_carbon,Biotic_interactions,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,0.28,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
T,Soil_temperature_winter,Climate,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,-0.33,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
Ca,Soil_calcium_0-20,Soil_nutrients,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,0.37,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
CN,Soil_carbon_nitrogen_ratio,Soil_nutrients,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,-0.27,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
T,Soil_temperature,Climate,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,0.45,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
MibiCN,Microbial_carbon_nitrogen_ratio,Biotic_interactions,Invertebrates,Diversity,Integrated_soil_invertebrate_diversity,,0.27,regional,Mueller et al. 2016,,"Poland, top 10 predictors"
Elev,,,Bacteria,Diversity,,,,,Ma et al. 2022,https://www.sciencedirect.com/science/article/abs/pii/S0038071722000232,Subtropical Forest
,,,Fungi,Diversity,,,,,Ma et al. 2022,https://www.sciencedirect.com/science/article/abs/pii/S0038071722000232,Subtropical Forest
