taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4410975	Trichodrilus icenorum Beddard, 1920	2307990	Trichodrilus allobrogum Claparède, 1862	7	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus allobrogum	2307990	
10418287	BOLD:AAB1239	10418287	BOLD:AAB1239	7	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lumbriculus	2308018	Lumbriculus variegatus	2308023	
2307997	Guestphalinus Michaelsen, 1933	2307997	Guestphalinus Michaelsen, 1933	6	GENUS	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Guestphalinus	2307997			
9562715	Rhynchelmis olchonensis Burow & Koshow, 1932	9094026	Pseudorhynchelmis olchonensis (Burow & Koshow, 1932)	8	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Pseudorhynchelmis	4813791	Pseudorhynchelmis olchonensis	9094026	
9178281	Bathynomus lemani Grube, 1879	4411022	Stylodrilus lemani (Grube, 1879)	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus lemani	4411022	
10136087	BOLD:ACQ5068	10136087	BOLD:ACQ5068	2	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis alyonae	9131367	
10229286	BOLD:ACQ8035	10229286	BOLD:ACQ8035	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis saxosa	9121604	
2308003	Premnodrilus palustris F.Smith, 1900	2308002	Eclipidrilus palustris (Smith, 1900)	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eclipidrilus	2308000	Eclipidrilus palustris	2308002	
5194009	Lamprodrilus Michaelsen, 1901	5194009	Lamprodrilus Michaelsen, 1901	14	GENUS	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009			
11128496	Honshudrilus gudariensis Ohtaka, Fend & Torii, 2020	11128496	Honshudrilus gudariensis Ohtaka, Fend & Torii, 2020	6	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Honshudrilus	11180492	Honshudrilus gudariensis	11128496	
