Group_name,Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Species_Briones,Ecogroup_Briones,Species_final,Genus,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup
Earthworms,Dendrobaena franzi,Dendr_fran,NA,NA,Epigeic,Dendrobaena franzi,Dendrobaena franzi,Epigeic,Dendrobaena franzi,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena fridericae,Dendr_frid,NA,NA,NA,Dendrobaena fridericae,NA,NA,Dendrobaena fridericae,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena ganglbaueri,Dendr_gang,NA,NA,Epigeic,Dendrobaena ganglbaueri,NA,NA,Dendrobaena ganglbaueri,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena hortensis,Dendr_hort,NA,NA,Epigeic,Dendrobaena hortensis,Dendrobaena hortensis,Epigeic,Dendrobaena hortensis,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena illyrica,Dendr_illy,NA,NA,NA,Dendrobaena illyrica,Dendrobaena illyrica,Epigeic,Dendrobaena illyrica,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena illyricus,Dendr_illy,NA,NA,NA,Dendrobaena illyricus,Dendrobaena illyrica,NA,Dendrobaena illyrica,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena lusitana,Dendr_lusi,NA,NA,Epigeic,Dendrobaena lusitana,Dendrobaena lusitana,Epigeic,Dendrobaena lusitana,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena mariupolienis,Dendr_mari,NA,NA,NA,Dendrobaena mariupolienis,NA,NA,Dendrobaena mariupolienis,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena octaedra,Dendr_octa,NA,NA,Epigeic,Dendrobaena octaedra,Dendrobaena octaedra,Epigeic,Dendrobaena octaedra,Dendrobaena,97,0,3,Epigeic,Epigeic
Earthworms,Dendrobaena osellai,Dendr_osel,NA,NA,NA,Dendrobaena osellai,NA,NA,Dendrobaena osellai,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena pantaleonis,Dendr_pant,NA,NA,Epigeic,Dendrobaena pantaleonis,Dendrobaena pantaleonis,Epigeic,Dendrobaena pantaleonis,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena pavliceki,Dendr_pavl,NA,NA,NA,Dendrobaena pavliceki,NA,NA,Dendrobaena pavliceki,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena pentheri,Dendr_pent,NA,NA,NA,Dendrobaena pentheri,NA,NA,Dendrobaena pentheri,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena persimilis,Dendr_pers,NA,NA,NA,Dendrobaena persimilis,NA,NA,Dendrobaena persimilis,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena platyura,Dendr_plat,NA,NA,NA,Dendrobaena platyura,NA,NA,Dendrobaena platyura,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena pseudorrosea,Dendr_pseu,NA,NA,NA,Dendrobaena pseudorrosea,NA,NA,Dendrobaena pseudorrosea,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena pygmaea,Dendr_pygm,NA,NA,Epigeic,Dendrobaena pygmaea,Dendrobaena pygmaea,Epigeic,Dendrobaena pygmaea,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena pygmaea gallurensis,Dendr_gall,NA,NA,Epigeic,Dendrobaena pygmaea gallurensis,Dendrobaena gallurensis,Epigeic,Dendrobaena gallurensis,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena ressli,Dendr_ress,NA,NA,NA,Dendrobaena ressli,NA,NA,Dendrobaena ressli,Dendrobaena,NA,NA,NA,NA,NA
