"IUCNcat","SSP","sumCell","coverage","coverage_km2","SpeciesID"
"VI","ssp126",105.354953013048,0.0016,526.77,"Aporr_rose"
"Ia","ssp370",12.0872380775419,2e-04,60.44,"Aporr_rose"
"Ib","ssp370",7.15323707508037,1e-04,35.77,"Aporr_rose"
"II","ssp370",306.884029198084,0.0047,1534.42,"Aporr_rose"
"III","ssp370",27.9815819517532,4e-04,139.91,"Aporr_rose"
"IV","ssp370",1456.00532967247,0.0222,7280.03,"Aporr_rose"
"Not.Applicable","ssp370",106.194674436534,0.0016,530.97,"Aporr_rose"
"Not.Assigned","ssp370",779.903684059038,0.0119,3899.52,"Aporr_rose"
"Not.Reported","ssp370",8788.90478082656,0.1338,43944.52,"Aporr_rose"
"Outside.PA","ssp370",44363.0155894103,0.6755,221815.08,"Aporr_rose"
"Presence","ssp370",65679,1,328395,"Aporr_rose"
"Protected","ssp370",11640.9812712675,0.1772,58204.91,"Aporr_rose"
"Unprotected","ssp370",54038.0187287325,0.8228,270190.09,"Aporr_rose"
"V","ssp370",9720.04608047194,0.148,48600.23,"Aporr_rose"
"VI","ssp370",110.823774820667,0.0017,554.12,"Aporr_rose"
"Ia","ssp585",15.0934940670433,2e-04,75.47,"Aporr_rose"
"Ib","ssp585",5.93580482225047,1e-04,29.68,"Aporr_rose"
"II","ssp585",327.467820313747,0.0051,1637.34,"Aporr_rose"
"III","ssp585",29.0768847383509,5e-04,145.38,"Aporr_rose"
"IV","ssp585",1362.34059121813,0.0212,6811.7,"Aporr_rose"
"Not.Applicable","ssp585",115.84556998277,0.0018,579.23,"Aporr_rose"
"Not.Assigned","ssp585",760.118365748364,0.0118,3800.59,"Aporr_rose"
"Not.Reported","ssp585",8738.62265216969,0.136,43693.11,"Aporr_rose"
"Outside.PA","ssp585",43457.7178224499,0.6764,217288.59,"Aporr_rose"
"Presence","ssp585",64246,1,321230,"Aporr_rose"
"Protected","ssp585",11173.6955896493,0.1739,55868.48,"Aporr_rose"
"Unprotected","ssp585",53072.3044103507,0.8261,265361.52,"Aporr_rose"
"V","ssp585",9320.51821764221,0.1451,46602.59,"Aporr_rose"
"VI","ssp585",113.262776847552,0.0018,566.31,"Aporr_rose"
"Ia","ssp126",17.8951739943677,5e-04,89.48,"Dendr_atte"
"Ib","ssp126",10.3099004415085,3e-04,51.55,"Dendr_atte"
"II","ssp126",286.957201937706,0.0076,1434.79,"Dendr_atte"
"III","ssp126",14.2527729035281,4e-04,71.26,"Dendr_atte"
"IV","ssp126",1261.84541353603,0.0334,6309.23,"Dendr_atte"
"Not.Applicable","ssp126",106.20077462496,0.0028,531,"Dendr_atte"
"Not.Assigned","ssp126",913.851706639478,0.0242,4569.26,"Dendr_atte"
"Not.Reported","ssp126",6315.28935131797,0.1671,31576.45,"Dendr_atte"
"Outside.PA","ssp126",21267.8482909058,0.5628,106339.24,"Dendr_atte"
"Presence","ssp126",37789,1,188945,"Dendr_atte"
"Protected","ssp126",9185.80987651175,0.2431,45929.05,"Dendr_atte"
"Unprotected","ssp126",28603.1901234882,0.7569,143015.95,"Dendr_atte"
"V","ssp126",7430.20926638635,0.1966,37151.05,"Dendr_atte"
"VI","ssp126",164.340147312265,0.0043,821.7,"Dendr_atte"
"Ia","ssp370",21.6186450999758,6e-04,108.09,"Dendr_atte"
"Ib","ssp370",10.0358152695949,3e-04,50.18,"Dendr_atte"
"II","ssp370",289.509123228688,0.0079,1447.55,"Dendr_atte"
"III","ssp370",15.3278484558111,4e-04,76.64,"Dendr_atte"
"IV","ssp370",1159.5809639462,0.0315,5797.9,"Dendr_atte"
"Not.Applicable","ssp370",129.097271653658,0.0035,645.49,"Dendr_atte"
"Not.Assigned","ssp370",884.683180100413,0.0241,4423.42,"Dendr_atte"
"Not.Reported","ssp370",6220.71838325033,0.1692,31103.59,"Dendr_atte"
"Outside.PA","ssp370",20657.3864164999,0.562,103286.93,"Dendr_atte"
"Presence","ssp370",36756,1,183780,"Dendr_atte"
"Protected","ssp370",8864.11474849574,0.2412,44320.57,"Dendr_atte"
"Unprotected","ssp370",27891.8852515043,0.7588,139459.43,"Dendr_atte"
"V","ssp370",7209.78266704254,0.1962,36048.91,"Dendr_atte"
"VI","ssp370",158.259685452933,0.0043,791.3,"Dendr_atte"
"Ia","ssp585",21.4481974749038,6e-04,107.24,"Dendr_atte"
"Ib","ssp585",9.34261591799032,3e-04,46.71,"Dendr_atte"
"II","ssp585",254.929093879736,0.0076,1274.65,"Dendr_atte"
"III","ssp585",13.9572009382545,4e-04,69.79,"Dendr_atte"
"IV","ssp585",997.585244028682,0.0298,4987.93,"Dendr_atte"
"Not.Applicable","ssp585",122.724661929367,0.0037,613.62,"Dendr_atte"
"Not.Assigned","ssp585",846.747581504364,0.0253,4233.74,"Dendr_atte"
"Not.Reported","ssp585",5871.21256622625,0.1752,29356.06,"Dendr_atte"
"Outside.PA","ssp585",18458.4356203886,0.5509,92292.18,"Dendr_atte"
"Presence","ssp585",33507,1,167535,"Dendr_atte"
"Protected","ssp585",8207.8795699514,0.245,41039.4,"Dendr_atte"
"Unprotected","ssp585",25299.1204300486,0.755,126495.6,"Dendr_atte"
"V","ssp585",6772.65518397206,0.2021,33863.28,"Dendr_atte"
"VI","ssp585",137.96203373977,0.0041,689.81,"Dendr_atte"
"Ia","ssp126",0,0,0,"Dendr_illy"
"Ib","ssp126",0,0,0,"Dendr_illy"
"II","ssp126",0,0,0,"Dendr_illy"
"III","ssp126",0,0,0,"Dendr_illy"
"IV","ssp126",0.00663108879234642,0.0013,0.03,"Dendr_illy"
"Not.Applicable","ssp126",0,0,0,"Dendr_illy"
"Not.Assigned","ssp126",0,0,0,"Dendr_illy"
"Not.Reported","ssp126",0.682351421564817,0.1365,3.41,"Dendr_illy"
"Outside.PA","ssp126",4.31101748964284,0.8622,21.56,"Dendr_illy"
"Presence","ssp126",5,1,25,"Dendr_illy"
"Protected","ssp126",0.00663108879234642,0.0013,0.03,"Dendr_illy"
"Unprotected","ssp126",4.99336891120765,0.9987,24.97,"Dendr_illy"
"V","ssp126",0,0,0,"Dendr_illy"
"VI","ssp126",0,0,0,"Dendr_illy"
"Ia","ssp370",0,0,0,"Dendr_illy"
"Ib","ssp370",0,0,0,"Dendr_illy"
"II","ssp370",0,0,0,"Dendr_illy"
"III","ssp370",0,0,0,"Dendr_illy"
"IV","ssp370",0.0143065078882501,0.0014,0.07,"Dendr_illy"
"Not.Applicable","ssp370",0,0,0,"Dendr_illy"
"Not.Assigned","ssp370",0,0,0,"Dendr_illy"
"Not.Reported","ssp370",0.768012922257185,0.0768,3.84,"Dendr_illy"
"Outside.PA","ssp370",9.21768056985456,0.9218,46.09,"Dendr_illy"
"Presence","ssp370",10,1,50,"Dendr_illy"
"Protected","ssp370",0.0143065078882501,0.0014,0.07,"Dendr_illy"
"Unprotected","ssp370",9.98569349211175,0.9986,49.93,"Dendr_illy"
"V","ssp370",0,0,0,"Dendr_illy"
"VI","ssp370",0,0,0,"Dendr_illy"
"Ia","ssp585",0,0,0,"Dendr_illy"
"Ib","ssp585",0,0,0,"Dendr_illy"
"II","ssp585",0,0,0,"Dendr_illy"
"III","ssp585",0.0482390210345329,0.0032,0.24,"Dendr_illy"
"IV","ssp585",0.050487112486735,0.0034,0.25,"Dendr_illy"
"Not.Applicable","ssp585",0,0,0,"Dendr_illy"
"Not.Assigned","ssp585",0,0,0,"Dendr_illy"
"Not.Reported","ssp585",4.59172840602696,0.3061,22.96,"Dendr_illy"
"Outside.PA","ssp585",8.42742793105208,0.5618,42.14,"Dendr_illy"
"Presence","ssp585",15,1,75,"Dendr_illy"
"Protected","ssp585",1.98084366292096,0.1321,9.9,"Dendr_illy"
"Unprotected","ssp585",13.019156337079,0.8679,65.1,"Dendr_illy"
"V","ssp585",1.88211752939969,0.1255,9.41,"Dendr_illy"
"VI","ssp585",0,0,0,"Dendr_illy"
"Ia","ssp126",129.338650009787,0.0016,646.69,"Dendr_octa"
"Ib","ssp126",237.846157854586,0.0029,1189.23,"Dendr_octa"
"II","ssp126",1198.54771021393,0.0147,5992.74,"Dendr_octa"
"III","ssp126",52.9836222741478,7e-04,264.92,"Dendr_octa"
"IV","ssp126",2503.96759582024,0.0308,12519.84,"Dendr_octa"
