Predictor,maxent,Species
Pastures,0.994,Lumbr_rube
Pop_Dens,7.447,Lumbr_rube
SOC,3.447,Lumbr_rube
Shrubland,0.762,Lumbr_rube
Slope,0.377,Lumbr_rube
pH,3.801,Lumbr_rube
Agriculture,7.807,Lumbr_terr
Aspect,0.26,Lumbr_terr
CEC,2.254,Lumbr_terr
Clay.Silt,0.549,Lumbr_terr
Cu,6.408,Lumbr_terr
Dist_Coast,2.23,Lumbr_terr
Dist_River,0.319,Lumbr_terr
Dist_Urban,3.042,Lumbr_terr
Elev,3.121,Lumbr_terr
Forest_Coni,0.584,Lumbr_terr
Forest_Deci,0.793,Lumbr_terr
Hg,3.039,Lumbr_terr
MAP,1.37,Lumbr_terr
MAP_Seas,15.285,Lumbr_terr
MAT,18.726,Lumbr_terr
Moisture,3.864,Lumbr_terr
N,1.957,Lumbr_terr
NDVI,1.425,Lumbr_terr
P,10.716,Lumbr_terr
Pastures,0.102,Lumbr_terr
Pop_Dens,7.948,Lumbr_terr
SOC,0.406,Lumbr_terr
Shrubland,0.258,Lumbr_terr
Slope,1.077,Lumbr_terr
pH,6.461,Lumbr_terr
Agriculture,0.101,Micro_dubi
Aspect,0,Micro_dubi
CEC,0.532,Micro_dubi
Clay.Silt,0,Micro_dubi
Cu,0,Micro_dubi
Dist_Coast,5.298,Micro_dubi
Dist_River,0,Micro_dubi
Dist_Urban,4.915,Micro_dubi
Elev,0,Micro_dubi
Forest_Coni,0.422,Micro_dubi
Forest_Deci,0,Micro_dubi
Hg,0.307,Micro_dubi
MAP,0,Micro_dubi
MAP_Seas,7.666,Micro_dubi
MAT,65.451,Micro_dubi
Moisture,1.737,Micro_dubi
N,0.439,Micro_dubi
NDVI,7.612,Micro_dubi
P,1.34,Micro_dubi
Pastures,0,Micro_dubi
Pop_Dens,0,Micro_dubi
SOC,0,Micro_dubi
Shrubland,4.178,Micro_dubi
Slope,0,Micro_dubi
pH,0,Micro_dubi
Agriculture,3.003,Micro_phos
Aspect,0.003,Micro_phos
