"x" "y" "ID" "Art"
9.419080847 54.255172133 469 "Lumbricus terrestris"
9.419080847 54.255172133 469 "Octolasion cyaneum"
9.419080847 54.255172133 469 "Octolasion lacteum"
9.419080847 54.255172133 469 "Octolasion tyrtaeum"
9.419080847 54.255172133 469 "Satchellius mammalis"
9.574080847 54.255172133 470 "Allolobophora chlorotica"
9.574080847 54.255172133 470 "Allolobophoridella eiseni"
9.574080847 54.255172133 470 "Aporrectodea caliginosa"
9.574080847 54.255172133 470 "Aporrectodea limicola"
9.574080847 54.255172133 470 "Aporrectodea longa"
9.574080847 54.255172133 470 "Aporrectodea rosea"
9.574080847 54.255172133 470 "Dendrobaena octaedra"
9.574080847 54.255172133 470 "Dendrobaena rubidus"
9.574080847 54.255172133 470 "Eisenia fetida"
9.574080847 54.255172133 470 "Lumbricus castaneus"
9.574080847 54.255172133 470 "Lumbricus festivus"
9.574080847 54.255172133 470 "Lumbricus rubellus"
9.574080847 54.255172133 470 "Lumbricus terrestris"
9.574080847 54.255172133 470 "Octolasion cyaneum"
9.574080847 54.255172133 470 "Octolasion lacteum"
9.574080847 54.255172133 470 "Octolasion tyrtaeum"
9.574080847 54.255172133 470 "Satchellius mammalis"
9.760080847 54.255172133 471 "Allolobophora chlorotica"
9.760080847 54.255172133 471 "Aporrectodea caliginosa"
9.760080847 54.255172133 471 "Aporrectodea limicola"
9.760080847 54.255172133 471 "Aporrectodea longa"
9.760080847 54.255172133 471 "Aporrectodea rosea"
9.760080847 54.255172133 471 "Dendrobaena rubidus"
9.760080847 54.255172133 471 "Lumbricus castaneus"
9.760080847 54.255172133 471 "Lumbricus festivus"
9.760080847 54.255172133 471 "Lumbricus rubellus"
9.760080847 54.255172133 471 "Lumbricus terrestris"
9.760080847 54.255172133 471 "Octolasion lacteum"
9.760080847 54.255172133 471 "Octolasion tyrtaeum"
9.915080847 54.255172133 472 "Allolobophora chlorotica"
9.915080847 54.255172133 472 "Aporrectodea limicola"
9.915080847 54.255172133 472 "Aporrectodea longa"
9.915080847 54.255172133 472 "Aporrectodea rosea"
9.915080847 54.255172133 472 "Dendrobaena octaedra"
9.915080847 54.255172133 472 "Dendrobaena rubidus"
9.915080847 54.255172133 472 "Lumbricus castaneus"
9.915080847 54.255172133 472 "Lumbricus festivus"
9.915080847 54.255172133 472 "Lumbricus rubellus"
9.915080847 54.255172133 472 "Lumbricus terrestris"
9.915080847 54.255172133 472 "Octolasion cyaneum"
9.915080847 54.255172133 472 "Octolasion lacteum"
10.256080847 54.255172133 474 "Allolobophora chlorotica"
