Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Onychochaeta borincana,Onych_bori,NA,NA,Endogeic,Onychochaeta borincana,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Rhinodrilidae,Onychochaeta,3,0,0
Perelia gestroi,Perel_gest,NA,NA,NA,Perelia gestroi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Perelia,19,6,7
Perelia tuberosa,Perel_tube,NA,NA,NA,Perelia tuberosa,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Perelia,1787,0,0
Perichaeta morrisi,Peric_morr,NA,Family from GBIF,NA,Perichaeta morrisi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Perichaeta,1,1,1
Perionyx excavatus,Perio_exca,NA,NA,Epigeic,Perionyx excavatus,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Perionyx,5,0,0
Periscolex brachycystis,Peris_brac,NA,NA,Endogeic,Periscolex brachycystis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Rhinodrilidae,Periscolex,1,0,0
Phoenicodrilus taste,Phoen_tast,NA,NA,Endogeic,Phoenicodrilus taste,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ocnerodrilidae,Phoenicodrilus,1,0,0
Pithemera bicincta,Pithe_bici,NA,NA,Epi-Endogeic,Pithemera bicincta,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Pithemera,5,0,0
Polypheretima elongata,Polyp_elon,NA,NA,Endogeic,Polypheretima elongata,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Polypheretima,6,0,0
Polytoreutus annulatus,Polyt_annu,NA,NA,Epigeic,Polytoreutus annulatus,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Eudrilidae,Polytoreutus,5,0,0
Pontoscolex corethrurus,Ponto_core,NA,NA,Endogeic,Pontoscolex corethrurus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Rhinodrilidae,Pontoscolex,303,0,0
