Predictor,maxent,Species,Run
Moisture,2.03,Dendr_illy,1
N,0.109,Dendr_illy,1
NDVI,0,Dendr_illy,1
P,0,Dendr_illy,1
Pastures,0.482,Dendr_illy,1
Pop_Dens,0,Dendr_illy,1
SOC,0,Dendr_illy,1
Shrubland,0,Dendr_illy,1
Slope,0,Dendr_illy,1
pH,2.37,Dendr_illy,1
Agriculture,12.871,Dendr_octa,1
Aspect,1.838,Dendr_octa,1
CEC,7.198,Dendr_octa,1
Clay.Silt,4.179,Dendr_octa,1
Cu,4.963,Dendr_octa,1
Dist_Coast,7.861,Dendr_octa,1
Dist_River,0.23,Dendr_octa,1
Dist_Urban,1.699,Dendr_octa,1
Elev,5.452,Dendr_octa,1
Forest_Coni,2.342,Dendr_octa,1
Forest_Deci,2.985,Dendr_octa,1
Hg,5.91,Dendr_octa,1
MAP,1.984,Dendr_octa,1
MAP_Seas,2.865,Dendr_octa,1
MAT,8.812,Dendr_octa,1
Moisture,3.319,Dendr_octa,1
N,2.241,Dendr_octa,1
NDVI,3.558,Dendr_octa,1
P,3.602,Dendr_octa,1
Pastures,1.412,Dendr_octa,1
Pop_Dens,9.324,Dendr_octa,1
SOC,0.789,Dendr_octa,1
Shrubland,1.566,Dendr_octa,1
Slope,0.415,Dendr_octa,1
pH,2.586,Dendr_octa,1
Agriculture,0,Dendr_pygm,1
Aspect,0,Dendr_pygm,1
CEC,0,Dendr_pygm,1
Clay.Silt,0,Dendr_pygm,1
Cu,2.672,Dendr_pygm,1
Dist_Coast,19.314,Dendr_pygm,1
Dist_River,0,Dendr_pygm,1
Dist_Urban,0,Dendr_pygm,1
Elev,0,Dendr_pygm,1
Forest_Coni,12.56,Dendr_pygm,1
Forest_Deci,5.953,Dendr_pygm,1
Hg,8.719,Dendr_pygm,1
MAP,0,Dendr_pygm,1
MAP_Seas,0,Dendr_pygm,1
MAT,0.719,Dendr_pygm,1
Moisture,3.484,Dendr_pygm,1
N,0,Dendr_pygm,1
NDVI,0,Dendr_pygm,1
P,0,Dendr_pygm,1
Pastures,0.62,Dendr_pygm,1
Pop_Dens,12.9,Dendr_pygm,1
SOC,0,Dendr_pygm,1
Shrubland,0,Dendr_pygm,1
Slope,0,Dendr_pygm,1
pH,33.059,Dendr_pygm,1
Agriculture,5.35,Dendr_rubi,1
Aspect,2.365,Dendr_rubi,1
CEC,3.193,Dendr_rubi,1
Clay.Silt,2.616,Dendr_rubi,1
Cu,3.474,Dendr_rubi,1
Dist_Coast,5.479,Dendr_rubi,1
Dist_River,1.132,Dendr_rubi,1
Dist_Urban,0.129,Dendr_rubi,1
Elev,16.736,Dendr_rubi,1
Forest_Coni,3.238,Dendr_rubi,1
Forest_Deci,4.287,Dendr_rubi,1
Hg,3.533,Dendr_rubi,1
MAP,0.161,Dendr_rubi,1
MAP_Seas,3.133,Dendr_rubi,1
MAT,10.531,Dendr_rubi,1
Moisture,1.61,Dendr_rubi,1
N,2.73,Dendr_rubi,1
NDVI,3.268,Dendr_rubi,1
P,4.762,Dendr_rubi,1
Pastures,6.455,Dendr_rubi,1
Pop_Dens,3.151,Dendr_rubi,1
SOC,2.788,Dendr_rubi,1
Shrubland,1.605,Dendr_rubi,1
Slope,2.622,Dendr_rubi,1
pH,5.651,Dendr_rubi,1
Agriculture,2.963,Dendr_vene,1
Aspect,0,Dendr_vene,1
CEC,0,Dendr_vene,1
Clay.Silt,0,Dendr_vene,1
Cu,9.932,Dendr_vene,1
Dist_Coast,31.486,Dendr_vene,1
Dist_River,3.826,Dendr_vene,1
Dist_Urban,2.159,Dendr_vene,1
Elev,0,Dendr_vene,1
Forest_Coni,0,Dendr_vene,1
Forest_Deci,0.084,Dendr_vene,1
Hg,12.103,Dendr_vene,1
MAP,0,Dendr_vene,1
MAP_Seas,0,Dendr_vene,1
MAT,0,Dendr_vene,1
Moisture,0,Dendr_vene,1
N,0,Dendr_vene,1
NDVI,0,Dendr_vene,1
P,3.85,Dendr_vene,1
Pastures,14.861,Dendr_vene,1
Pop_Dens,18.184,Dendr_vene,1
SOC,0,Dendr_vene,1
Shrubland,0,Dendr_vene,1
Slope,0.552,Dendr_vene,1
pH,0,Dendr_vene,1
Agriculture,0,Eisen_andr,1
Aspect,0,Eisen_andr,1
CEC,0,Eisen_andr,1
Clay.Silt,0,Eisen_andr,1
Cu,0,Eisen_andr,1
Dist_Coast,9.56,Eisen_andr,1
Dist_River,0,Eisen_andr,1
Dist_Urban,0,Eisen_andr,1
Elev,0,Eisen_andr,1
Forest_Coni,0,Eisen_andr,1
Forest_Deci,0,Eisen_andr,1
Hg,0,Eisen_andr,1
MAP,0,Eisen_andr,1
MAP_Seas,0,Eisen_andr,1
MAT,0,Eisen_andr,1
Moisture,0,Eisen_andr,1
N,0,Eisen_andr,1
NDVI,0,Eisen_andr,1
P,0,Eisen_andr,1
Pastures,90.44,Eisen_andr,1
Pop_Dens,0,Eisen_andr,1
SOC,0,Eisen_andr,1
Shrubland,0,Eisen_andr,1
Slope,0,Eisen_andr,1
pH,0,Eisen_andr,1
Agriculture,4.079,Eisen_feti,1
Aspect,2.551,Eisen_feti,1
CEC,3.014,Eisen_feti,1
Clay.Silt,1.131,Eisen_feti,1
Cu,5.68,Eisen_feti,1
Dist_Coast,3.475,Eisen_feti,1
Dist_River,0.757,Eisen_feti,1
Dist_Urban,0.141,Eisen_feti,1
Elev,18.118,Eisen_feti,1
Forest_Coni,4.316,Eisen_feti,1
Forest_Deci,1.582,Eisen_feti,1
Hg,1.802,Eisen_feti,1
MAP,4.049,Eisen_feti,1
MAP_Seas,0.759,Eisen_feti,1
MAT,19.331,Eisen_feti,1
Moisture,4.201,Eisen_feti,1
N,0.35,Eisen_feti,1
NDVI,1.835,Eisen_feti,1
P,2.982,Eisen_feti,1
Pastures,0.59,Eisen_feti,1
Pop_Dens,7.819,Eisen_feti,1
SOC,1.589,Eisen_feti,1
Shrubland,1.595,Eisen_feti,1
Slope,2.919,Eisen_feti,1
pH,5.338,Eisen_feti,1
Agriculture,0,Eisen_luce,1
Aspect,0.099,Eisen_luce,1
CEC,0.453,Eisen_luce,1
Clay.Silt,8.331,Eisen_luce,1
Cu,0.495,Eisen_luce,1
Dist_Coast,0,Eisen_luce,1
Dist_River,0,Eisen_luce,1
Dist_Urban,5.262,Eisen_luce,1
Elev,2.744,Eisen_luce,1
Forest_Coni,0,Eisen_luce,1
Forest_Deci,0,Eisen_luce,1
Hg,0,Eisen_luce,1
MAP,0.226,Eisen_luce,1
MAP_Seas,73.989,Eisen_luce,1
MAT,0.382,Eisen_luce,1
Moisture,0.891,Eisen_luce,1
N,1.768,Eisen_luce,1
NDVI,0.495,Eisen_luce,1
P,1.414,Eisen_luce,1
Pastures,0,Eisen_luce,1
Pop_Dens,0,Eisen_luce,1
SOC,0,Eisen_luce,1
Shrubland,0,Eisen_luce,1
Slope,0,Eisen_luce,1
pH,3.451,Eisen_luce,1
Agriculture,1.589,Eisen_tetr,1
Aspect,0.934,Eisen_tetr,1
CEC,3.003,Eisen_tetr,1
Clay.Silt,2.731,Eisen_tetr,1
Cu,1.653,Eisen_tetr,1
Dist_Coast,7.483,Eisen_tetr,1
Dist_River,0,Eisen_tetr,1
Dist_Urban,0,Eisen_tetr,1
Elev,13.417,Eisen_tetr,1
Forest_Coni,0.553,Eisen_tetr,1
Forest_Deci,0,Eisen_tetr,1
Hg,18.53,Eisen_tetr,1
MAP,0.481,Eisen_tetr,1
MAP_Seas,18.041,Eisen_tetr,1
