"IUCNcat","sumCell","coverage","coverage_km2","SpeciesID"
"Presence",135078,1,675390,"Lumbr_terr"
"Protected",21133.7250477871,0.1565,105668.63,"Lumbr_terr"
"Unprotected",113944.274952213,0.8435,569721.37,"Lumbr_terr"
"V",16894.0229364324,0.1251,84470.11,"Lumbr_terr"
"VI",257.163975004622,0.0019,1285.82,"Lumbr_terr"
"Ia",83.7877356128356,9e-04,418.94,"Octol_cyan"
"Ib",44.346208124088,5e-04,221.73,"Octol_cyan"
"II",1198.90803696328,0.0126,5994.54,"Octol_cyan"
"III",77.3141612471643,8e-04,386.57,"Octol_cyan"
"IV",2557.03573396222,0.0269,12785.18,"Octol_cyan"
"Not.Applicable",320.292183096349,0.0034,1601.46,"Octol_cyan"
"Not.Assigned",1198.4647086444,0.0126,5992.32,"Octol_cyan"
"Not.Reported",17082.5454651306,0.1796,85412.73,"Octol_cyan"
"Outside.PA",57693.5862086265,0.6064,288467.93,"Octol_cyan"
"Presence",95134,1,475670,"Octol_cyan"
"Protected",18839.1114345021,0.198,94195.56,"Octol_cyan"
"Unprotected",76294.8885654979,0.802,381474.44,"Octol_cyan"
"V",14438.5202794236,0.1518,72192.6,"Octol_cyan"
"VI",439.199279168903,0.0046,2196,"Octol_cyan"
"Ia",165.630985566097,0.0018,828.15,"Octol_lact"
"Ib",768.928811052119,0.0084,3844.64,"Octol_lact"
"II",1724.79271100836,0.0189,8623.96,"Octol_lact"
"III",98.0896528769141,0.0011,490.45,"Octol_lact"
"IV",3968.57831650206,0.0436,19842.89,"Octol_lact"
"Not.Applicable",405.302647118461,0.0044,2026.51,"Octol_lact"
"Not.Assigned",1754.94688233033,0.0193,8774.73,"Octol_lact"
"Not.Reported",19903.8692162696,0.2185,99519.35,"Octol_lact"
"Outside.PA",50291.6955691237,0.5521,251458.48,"Octol_lact"
"Presence",91098,1,455490,"Octol_lact"
"Protected",18742.1856851579,0.2057,93710.93,"Octol_lact"
"Unprotected",72355.8143148421,0.7943,361779.07,"Octol_lact"
"V",11210.7204878126,0.1231,56053.6,"Octol_lact"
"VI",805.444720339751,0.0088,4027.22,"Octol_lact"
"Ia",55.8153745099063,6e-04,279.08,"Octol_tyrt"
"Ib",25.205417920469,3e-04,126.03,"Octol_tyrt"
"II",708.320564442149,0.0081,3541.6,"Octol_tyrt"
"III",35.8532005389213,4e-04,179.27,"Octol_tyrt"
"IV",1588.99354178061,0.0181,7944.97,"Octol_tyrt"
