"IUCNcat","sumCell","SpeciesID","coverage","SSP","coverage_km2"
"Not.Reported",8788.90478082656,"Aporr_rose_ssp370_mean",0.1338,"ssp370",43944.52
"Outside.PA",44363.0155894103,"Aporr_rose_ssp370_mean",0.6755,"ssp370",221815.08
"Presence",65679,"Aporr_rose_ssp370_mean",1,"ssp370",328395
"Protected",11640.9812712675,"Aporr_rose_ssp370_mean",0.1772,"ssp370",58204.91
"Unprotected",54038.0187287325,"Aporr_rose_ssp370_mean",0.8228,"ssp370",270190.09
"V",9720.04608047194,"Aporr_rose_ssp370_mean",0.148,"ssp370",48600.23
"VI",110.823774820667,"Aporr_rose_ssp370_mean",0.0017,"ssp370",554.12
"Ia",15.0934940670433,"Aporr_rose_ssp585_mean",2e-04,"ssp585",75.47
"Ib",5.93580482225047,"Aporr_rose_ssp585_mean",1e-04,"ssp585",29.68
"II",327.467820313747,"Aporr_rose_ssp585_mean",0.0051,"ssp585",1637.34
"III",29.0768847383509,"Aporr_rose_ssp585_mean",5e-04,"ssp585",145.38
"IV",1362.34059121813,"Aporr_rose_ssp585_mean",0.0212,"ssp585",6811.7
"Not.Applicable",115.84556998277,"Aporr_rose_ssp585_mean",0.0018,"ssp585",579.23
"Not.Assigned",760.118365748364,"Aporr_rose_ssp585_mean",0.0118,"ssp585",3800.59
"Not.Reported",8738.62265216969,"Aporr_rose_ssp585_mean",0.136,"ssp585",43693.11
"Outside.PA",43457.7178224499,"Aporr_rose_ssp585_mean",0.6764,"ssp585",217288.59
"Presence",64246,"Aporr_rose_ssp585_mean",1,"ssp585",321230
"Protected",11173.6955896493,"Aporr_rose_ssp585_mean",0.1739,"ssp585",55868.48
"Unprotected",53072.3044103507,"Aporr_rose_ssp585_mean",0.8261,"ssp585",265361.52
"V",9320.51821764221,"Aporr_rose_ssp585_mean",0.1451,"ssp585",46602.59
"VI",113.262776847552,"Aporr_rose_ssp585_mean",0.0018,"ssp585",566.31
"Ia",17.8951739943677,"Dendr_atte_ssp126_mean",5e-04,"ssp126",89.48
"Ib",10.3099004415085,"Dendr_atte_ssp126_mean",3e-04,"ssp126",51.55
